# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
55839144 35.28648 35.29752 35.31654   50.70   49.47  147.33   17.64   19.00 4.7831e+08 8.4831e+08 20.37746 2.26629 0.41900   26815 5.5169e+05    31283 55836881 55819864
55776594 35.28255 34.92163 35.20721   77.75   11.17   34.44   17.61   18.37 4.7732e+08 6.862e+08 20.36338 1.43852 0.60160   17846 4.0894e+05    83680 55819864 55819864
55749520 34.25775 34.47325 34.78680   74.63 -132.80   81.91   13.14   13.14 4.7592e+08 4.7592e+08 20.34366 2.96416 1.00000  8839.2 2.4395e+05    19749       -1       -1
55839106 35.32592 35.42430 35.31197   -4.80  -89.87   54.55   17.67   22.38 4.6915e+08 1.5239e+09 20.24648 1.83086 0.35260   82574 1.2612e+06    35423 55819864 55819864
56051281 35.75038 35.99377 36.01956  -12.27  -38.84  -18.45   13.37   13.37 4.6704e+08 4.6704e+08 20.21690 3.10803 1.00000  8525.5 2.3755e+05    22589       -1       -1
55765580 35.28203 34.88070 34.87366   65.62  -65.39   49.59   16.22   17.15 4.6465e+08 7.7324e+08 20.18310 1.78329 0.62820   22445 4.8404e+05    39065       -1       -1
55838598 35.15946 35.37483 35.47044  -68.41 -106.28   42.80   15.97   22.81 4.6451e+08 1.4183e+09 20.17887 2.42611 0.33330   71936 1.1396e+06    61375       -1       -1
56051215 35.66841 36.16701 35.46670    6.64 -128.18   -0.70   12.87   13.04 4.631e+08 5.0169e+08 20.16056 2.38278 0.92030  8387.8 2.3473e+05    21165       -1       -1
56027524 36.15020 35.16024 34.55889  -44.27 -101.52   91.57   13.11   13.11 4.469e+08 4.469e+08 19.92254 3.24236 1.00000  7833.6 2.2322e+05    19137       -1       -1
56051254 35.48277 34.91115 35.19861   95.13   -7.47  117.01   13.42   13.55 4.4592e+08 4.493e+08 19.90845 3.14075 0.90700  7800.5 2.2252e+05    22363       -1       -1
56051113 35.52493 36.19132 35.55521  -26.32 -119.15   19.08   12.33   12.62 4.4549e+08 4.4761e+08 19.90141 3.09503 0.54850  7786.3 2.2223e+05    22629       -1       -1
55816238 34.96387 35.34982 35.17745   18.70 -187.65   -9.88   16.11   17.43 4.338e+08 7.9718e+08 19.72535 2.12782 0.60160   23798 5.0534e+05    45107 55819864 55819864
56074100 35.38982 34.92600 35.13175  -36.47  -90.77  101.76   16.17   16.81 4.3211e+08 6.5296e+08 19.69859 2.20029 0.60160   16223 3.8126e+05    38607       -1       -1
56069389 35.39142 35.42675 34.99745  -61.63  -26.33  166.85   15.46   15.71 4.3e+08 5.1225e+08 19.66761 2.21954 0.64140  7274.7 2.1139e+05    21176       -1       -1
